                                        RAGGRUPPAMENTO CLUSTER
                          Macroprocessi ARIS                                    Cluster
22 - Compliance                                                 Controlli di II° livello
24 - Contrasto al riciclaggio e al finanziamento del terrorismo Controlli di II° livello
27 - Revisione interna                                          Controlli di II° livello
28 - Risk management                                            Controlli di II° livello
01 - Credito                                                    Credito
02 - Factoring                                                  Credito
04 - Gestione crediti problematici                              Credito
05 - Gestione ordinaria del credito                             Credito
06 - Governo del Credito                                        Credito
09 - Leasing                                                    Credito
10 - Prodotti del credito                                       Credito
07 - Incassi e Pagamenti                                        Distribuzione commerciale
11 - Servizi Accessori                                          Distribuzione commerciale
12 - Servizi Bancari                                            Distribuzione commerciale
13 - Servizi di Investimento                                    Distribuzione commerciale
14 - Servizi fiduciari                                          Distribuzione commerciale
16 - Canali di contatto con la clientela                        Distribuzione commerciale
17 - Politiche commerciali                                      Distribuzione commerciale
18 - Pricing                                                    Distribuzione commerciale
19 - Prodotti                                                   Distribuzione commerciale
20 - Rapporto con il cliente                                    Distribuzione commerciale
03 - Finanza                                                    Finanza proprietaria e liquidità
08 - Investment Banking                                         Finanza proprietaria e liquidità
15 - Tesoreria e Capital Management                             Finanza proprietaria e liquidità
29 - Business Continuity Management                             Information Technology
34 - Erogazione ICT                                             Information Technology
43 - Sviluppo ICT                                               Information Technology
32 - Data Governance                                            Information Technology
21 - Budget e Controllo di Gestione                             Macchina operativa
23 - Comunicazione e Relazioni Esterne                          Macchina operativa
25 - Partecipazioni                                             Macchina operativa
26 - Pianificazione strategica                                  Macchina operativa
30 - Ciclo Passivo                                              Macchina operativa
31 - Contabilità, fiscale e vigilanza                           Macchina operativa
33 - Demand e Outsourcing management                            Macchina operativa
35 - Immobiliare                                                Macchina operativa
36 - Legale e Societario                                        Macchina operativa
37 - Logistica e servizi ausiliari                              Macchina operativa
38 - Organizzazione                                             Macchina operativa
39 - Organizzazione e Demand                                    Macchina operativa
40 - Politiche e prassi di remunerazione e incentivazione       Macchina operativa
41 - Risorse umane                                              Macchina operativa
42 - Sicurezza e Ambiente                                       Macchina operativa

