Date;1 Week;2 Week;3 Week;1 Month;2 Month;3 Month;4 Month;5 Month;6 Month;7 Month;8 Month;9 Month;10 Month;11 Month;12 Month
1999-01-01;3.245;0;0;3.254;3.249;3.245;3.239;3.239;3.233;3.23;3.222;3.22;3.215;3.214;3.213
1999-01-04;3.249;0;0;3.242;3.237;3.234;3.231;3.227;3.223;3.221;3.218;3.214;3.209;3.208;3.209
1999-01-05;3.241;0;0;3.233;3.227;3.222;3.215;3.208;3.204;3.199;3.196;3.193;3.19;3.188;3.187
1999-01-06;3.24;0;0;3.226;3.22;3.214;3.209;3.203;3.197;3.191;3.188;3.183;3.179;3.178;3.176
1999-01-07;3.237;0;0;3.224;3.214;3.206;3.195;3.19;3.179;3.175;3.172;3.167;3.161;3.158;3.158
1999-01-08;3.233;0;0;3.217;3.207;3.196;3.185;3.177;3.166;3.159;3.156;3.149;3.146;3.141;3.139
1999-01-11;3.232;0;0;3.214;3.205;3.193;3.181;3.168;3.156;3.151;3.145;3.139;3.134;3.129;3.126
1999-01-12;3.226;0;0;3.213;3.203;3.19;3.177;3.165;3.153;3.147;3.142;3.135;3.13;3.123;3.122
1999-01-13;3.214;0;0;3.206;3.196;3.183;3.168;3.157;3.141;3.135;3.13;3.121;3.116;3.109;3.107
1999-01-14;3.2;0;0;3.191;3.181;3.163;3.15;3.137;3.121;3.113;3.105;3.095;3.09;3.085;3.083
1999-01-15;3.161;0;0;3.159;3.148;3.134;3.117;3.103;3.085;3.076;3.068;3.058;3.053;3.047;3.044
1999-01-18;3.109;0;0;3.12;3.112;3.101;3.086;3.073;3.056;3.048;3.042;3.032;3.027;3.022;3.02
1999-01-19;3.061;0;0;3.074;3.065;3.056;3.043;3.031;3.018;3.012;3.005;2.994;2.99;2.987;2.984
1999-01-20;3.061;0;0;3.074;3.065;3.054;3.041;3.03;3.014;3.007;3;2.993;2.989;2.986;2.985
1999-01-21;3.07;0;0;3.074;3.065;3.056;3.044;3.033;3.017;3.009;3.005;2.998;2.993;2.989;2.99
1999-01-22;3.091;0;0;3.086;3.072;3.059;3.045;3.033;3.018;3.009;3.003;2.997;2.993;2.989;2.99
1999-01-25;3.123;0;0;3.111;3.091;3.069;3.049;3.033;3.016;3.006;3;2.992;2.986;2.981;2.981
1999-01-26;3.18;0;0;3.134;3.105;3.08;3.056;3.039;3.02;3.008;3.001;2.993;2.988;2.983;2.984
1999-01-27;3.147;0;0;3.126;3.102;3.08;3.058;3.04;3.02;3.009;3.002;2.995;2.989;2.985;2.986
