DATA;EURIBOR1M;TASSO_BANCA
1999-01-01;3.162857143;1.44
1999-02-01;3.12635;1.31
1999-03-01;3.054782609;1.32
1999-04-01;2.694727273;1.25
1999-05-01;2.566095238;1.09
1999-06-01;2.605454545;1.09
1999-07-01;2.6345;1.08
1999-08-01;2.6135;1.07
1999-09-01;2.583545455;1.08
1999-10-01;2.762857143;1.09
1999-11-01;3.060727273;1.13
1999-12-01;3.509363636;1.22
2000-01-01;3.150238095;1.3
2000-02-01;3.359142857;1.28
2000-03-01;3.589217391;1.34
2000-04-01;3.790944444;1.42
2000-05-01;4.163181818;1.48
2000-06-01;4.370227273;1.58
2000-07-01;4.407666667;1.71
2000-08-01;4.574347826;1.76
2000-09-01;4.697714286;1.85
2000-10-01;4.853954545;1.94
2000-11-01;4.924909091;2.02
2000-12-01;4.948263158;2.08
2001-01-01;4.807043478;2.08
2001-02-01;4.7996;2.05
2001-03-01;4.776090909;2.08
2001-04-01;4.779894737;2.08
2001-05-01;4.67026087;2.03
2001-06-01;4.53;1.97
2001-07-01;4.524681818;1.96
2001-08-01;4.464652174;1.93
2001-09-01;4.0508;1.81
2001-10-01;3.718913043;1.6
2001-11-01;3.426681818;1.5
2001-12-01;3.418222222;1.38
2002-01-01;3.348045455;1.37
2002-02-01;3.3363;1.36
2002-03-01;3.3456;1.36
2002-04-01;3.335666667;1.39
2002-05-01;3.374045455;1.4
2002-06-01;3.3835;1.42
2002-07-01;3.361217391;1.43
2002-08-01;3.332818182;1.4
2002-09-01;3.317428571;1.39
2002-10-01;3.305956522;1.35
2002-11-01;3.231238095;1.35
2002-12-01;2.97985;1.25
2003-01-01;2.854772727;1.15
2003-02-01;2.77475;1.12
2003-03-01;2.600952381;1.05
2003-04-01;2.57625;0.98
2003-05-01;2.520380952;0.98
2003-06-01;2.177;0.9
2003-07-01;2.130608696;0.77
2003-08-01;2.122333333;0.76
2003-09-01;2.125909091;0.77
2003-10-01;2.100130435;0.76
2003-11-01;2.08675;0.77
2003-12-01;2.134473684;0.77
2004-01-01;2.075904762;0.77
2004-02-01;2.06055;0.76
