Data;KC;ENTI;PMI;PRIVATE;SB;PF;DR;Euribor;CDS;PFFIX;PFFLOAT
29/02/2008;0.037813062;0.03747366;0.028547186;0.030598942;0.019216306;0.015923356;0.006576241;0.041820952;0.008463943;0.006067978;0.028748641
31/03/2008;0.039091249;0.040437365;0.028603121;0.03001203;0.019653013;0.015894904;0.00668738;0.043046316;0.01166399;0.006079329;0.028541656
30/04/2008;0.039122036;0.040915892;0.02918992;0.03055603;0.020016133;0.01633614;0.00675418;0.043690909;0.00727755;0.006132776;0.028866804
31/05/2008;0.039691517;0.042093242;0.028689442;0.031884506;0.020454402;0.016848628;0.006773663;0.04387381;0.005952136;0.006246921;0.029857518
30/06/2008;0.040031735;0.042767979;0.031274731;0.032615847;0.020650536;0.01698191;0.006806991;0.04472381;0.007349805;0.006262923;0.030241137
31/07/2008;0.040655216;0.043492959;0.033401457;0.03347426;0.021135259;0.017431632;0.006863041;0.044715652;0.007504009;0.006265726;0.030709227
31/08/2008;0.040448462;0.04325445;0.032996555;0.033485223;0.020923024;0.017461896;0.006881688;0.044874762;0.006880776;0.006229132;0.031001813
30/09/2008;0.04072422;0.043980557;0.034760035;0.029896946;0.020704543;0.016155318;0.011142834;0.046599091;0.009862582;0.007065987;0.030988607
31/10/2008;0.042802537;0.045790859;0.036148749;0.030238163;0.021300291;0.016486987;0.011005361;0.048312609;0.0079623;0.00711897;0.030935363
30/11/2008;0.037717279;0.040194235;0.033588776;0.031549766;0.020700814;0.016563992;0.010423524;0.0384325;0.00749897;0.007038613;0.030657973
31/12/2008;0.037544457;0.040194235;0.033567893;0.031549766;0.020697248;0.016563992;0.010423524;0.029928571;0.011384722;0.007038613;0.030657973
31/01/2009;0.021712093;0.023277986;0.020626351;0.018789201;0.013393979;0.009994582;0.007965294;0.021418095;0.011187;0.006159483;0.015295912
28/02/2009;0.015828489;0.017382669;0.015046415;0.012518964;0.010040035;0.006734261;0.006448821;0.0162825;0.01309325;0.004940302;0.009195926
31/03/2009;0.011248445;0.013272109;0.010372098;0.008452381;0.007859354;0.004949056;0.005195405;0.012690909;0.014199986;0.004359679;0.005767276
30/04/2009;0.009284109;0.010155102;0.00861165;0.006204275;0.006651095;0.003820339;0.004662148;0.0101205;0.011231041;0.0040883;0.003469002
31/05/2009;0.007384095;0.008588188;0.007370932;0.004870152;0.005764604;0.003395117;0.004072446;0.008844;0.008166624;0.00414078;0.002404966
30/06/2009;0.007049466;0.008374233;0.007332259;0.004597343;0.004738767;0.003108538;0.002832764;0.009134091;0.008532414;0.003732456;0.002272478
31/07/2009;0.005107888;0.006117885;0.005795174;0.003488931;0.003676851;0.002819058;0.00231653;0.006097391;0.0074019;0.003403384;0.002028908
31/08/2009;0.003743817;0.004750524;0.004873335;0.002647564;0.003304369;0.002727339;0.002239072;0.005079524;0.006152219;0.003432507;0.001774985
30/09/2009;0.003608909;0.004253803;0.004019546;0.003139854;0.002727992;0.002330479;0.002191732;0.004551364;0.00598225;0.002620322;0.001939569
31/10/2009;0.003119109;0.004011403;0.003920718;0.00226939;0.002716782;0.001734003;0.002177354;0.004297273;0.006696245;0.001741452;0.001722937
30/11/2009;0.003103936;0.004997118;0.003736019;0.002369892;0.002419078;0.001769228;0.00215664;0.004352381;0.007747133;0.001751875;0.00179586
31/12/2009;0.003640241;0.005018163;0.004274336;0.002612371;0.002558371;0.001804742;0.002234408;0.004779545;0.007808657;0.001775482;0.001849993
31/01/2010;0.003330633;0.00453331;0.003799729;0.001992832;0.002407362;0.001690417;0.002169097;0.00437;0.008028776;0.001660718;0.001733053
28/02/2010;0.003100995;0.004801639;0.003810032;0.00233965;0.002308575;0.001710896;0.002157408;0.0042145;0.0116068;0.001656299;0.001790731
31/03/2010;0.003196723;0.005243412;0.003516756;0.002731572;0.001808138;0.001659496;0.002149059;0.004061739;0.009151574;0.001541014;0.0018333
30/04/2010;0.003085522;0.004679395;0.003408364;0.002013949;0.001767834;0.001463263;0.002159065;0.004042273;0.009950868;0.001564855;0.001304168
31/05/2010;0.00320032;0.004833153;0.003433065;0.002139706;0.001789059;0.00149551;0.002193154;0.00423;0.015897262;0.001583342;0.001350052
30/06/2010;0.004047088;0.005756664;0.004015102;0.002446275;0.00178387;0.001517543;0.002232205;0.004463636;0.018009641;0.001603012;0.001373267
31/07/2010;0.00513567;0.006320444;0.004826951;0.002430964;0.001909204;0.001499219;0.002052499;0.005833182;0.015577427;0.001579111;0.001363324
