DATA_OSS;BMPS_CC_RACC_ENTI;BMPS_CC_RACC_KC; BMPS_CC_RACC_PF ;BMPS_CC_RACC_PMI;BMPS_CC_RACC_PRIVATE;BMPS_CC_RACC_SB;BMPS_DR_RACC
29-feb-08;13.09839301;14.05347486;9.407143116;11.81663478;11.11681585;10.03858496;8.301090366
31-mar-08;13.02302895;13.92808679;9.392753576;11.77286747;10.99654267;10.04804602;8.289805307
30-apr-08;13.12395197;13.88206402;9.406365361;11.73850214;11.00422584;10.04443442;8.273717409
31-mag-08;13.26766469;13.83043733;9.397827751;11.89638531;11.05987989;10.07681929;8.252957305
30-giu-08;13.37307938;13.91631085;9.392190275;11.83544824;10.97543116;10.07884748;8.238172584
31-lug-08;13.38610961;14.12426832;9.387745335;11.8768033;10.91332863;10.02689537;8.220106396
31-ago-08;13.39321837;14.03355929;9.390725029;11.94473383;10.87341155;10.10637043;8.220519939
30-set-08;13.28153119;13.73501479;9.347800226;11.81445473;11.03554138;9.961589493;8.311916642
31-ott-08;13.23089441;13.73786724;9.379432464;11.73008015;11.12323049;9.915199664;8.321666768
30-nov-08;13.10915028;13.84295473;9.388363255;11.86589274;11.13795114;9.955784442;8.323463446
31-dic-08;13.07636046;13.79952103;9.358366923;11.83194606;11.10516132;9.922819913;8.290673623
31-gen-09;12.96538946;14.04973977;9.467684324;11.77844957;11.34614394;9.959424128;8.341620978
28-feb-09;12.97398279;13.97049092;9.465075752;11.73302441;11.319339;9.930422735;8.341589837
31-mar-09;12.83229826;13.89718795;9.46375104;11.71192091;11.22927079;9.882599166;8.30192547
30-apr-09;12.90030157;13.93303182;9.497621232;11.69570965;11.28201619;9.92053439;8.294388141
31-mag-09;12.96039325;13.95733366;9.506713188;11.76688692;11.30340423;9.95034878;8.302657689
30-giu-09;12.82448296;13.99444356;9.497163422;11.77938167;11.31185659;9.959679854;8.296175652
31-lug-09;12.68956182;14.00474074;9.500692306;11.70572163;11.28480972;9.932864415;8.285304965
31-ago-09;12.61065214;14.11069184;9.510442441;11.85922369;11.23021907;9.98543665;8.293884786
