DATA_OSS;VALORE
1989-02-28;7.14
1989-03-31;7.23
1989-04-30;7.33
1989-05-31;7.38
1989-06-30;7.27
1989-07-31;7.23
1989-08-31;7.26
1989-09-30;7.3
1989-10-31;7.31
1989-11-30;7.34
1989-12-31;7.35
1990-01-31;7.38
1990-02-28;7.33
1990-03-31;7.35
1990-04-30;7.42
1990-05-31;7.36
1990-06-30;6.92
1990-07-31;6.93
1990-08-31;6.95
1990-09-30;7
1990-10-31;7.01
1990-11-30;7.02
1990-12-31;7.07
1991-01-31;7.16
1991-02-28;7.23
1991-03-31;7.28
1991-04-30;7.2
1991-05-31;7
1991-06-30;6.71
1991-07-31;6.8
1991-08-31;6.81
1991-09-30;6.85
1991-10-31;6.9
1991-11-30;6.93
1991-12-31;7
1992-01-31;7.12
1992-02-29;7.15
1992-03-31;7.18
1992-04-30;7.22
1992-05-31;7.26
1992-06-30;7.29
1992-07-31;7.38
1992-08-31;7.51
1992-09-30;7.72
1992-10-31;8.02
1992-11-30;7.97
1992-12-31;7.8
1993-01-31;7.53
1993-02-28;7.27
1993-03-31;7.22
1993-04-30;7.23
1993-05-31;6.94
1993-06-30;6.65
1993-07-31;6.18
1993-08-31;5.94
1993-09-30;5.84
1993-10-31;5.66
1993-11-30;5.48
1993-12-31;5.55
1994-01-31;5.53
1994-02-28;5.37
1994-03-31;5.15
1994-04-30;5.17
1994-05-31;4.95
1994-06-30;4.74
1994-07-31;4.77
1994-08-31;4.79
1994-09-30;4.87
1994-10-31;4.92
1994-11-30;4.96
1994-12-31;5.03
1995-01-31;5.04
1995-02-28;5.03
1995-03-31;5.15
1995-04-30;5.3
1995-05-31;5.41
1995-06-30;5.54
1995-07-31;5.65
1995-08-31;5.68
1995-09-30;5.71
1995-10-31;5.75
1995-11-30;5.78
1995-12-31;5.86
1996-01-31;5.83
1996-02-29;5.7
1996-03-31;5.75
1996-04-30;5.78
1996-05-31;5.6
1996-06-30;5.52
1996-07-31;5.33
1996-08-31;4.91
1996-09-30;4.94
1996-10-31;4.83
1996-11-30;4.45
1996-12-31;4.51
1997-01-31;4.36
1997-02-28;4.11
1997-03-31;4.07
1997-04-30;4.01
1997-05-31;3.99
1997-06-30;3.84
1997-07-31;3.55
1997-08-31;3.44
1997-09-30;3.46
1997-10-31;3.29
1997-11-30;3.33
1997-12-31;3.36
1998-01-31;3.08
1998-02-28;2.93
1998-03-31;2.94
1998-04-30;2.78
1998-05-31;2.51
1998-06-30;2.53
1998-07-31;2.47
1998-08-31;2.37
1998-09-30;2.37
1998-10-31;2.36
1998-11-30;1.97
1998-12-31;1.7
1999-01-31;1.44
1999-02-28;1.31
1999-03-31;1.32
1999-04-30;1.25
1999-05-31;1.09
1999-06-30;1.09
1999-07-31;1.08
1999-08-31;1.07
1999-09-30;1.08
1999-10-31;1.09
1999-11-30;1.13
1999-12-31;1.22
2000-01-31;1.3
2000-02-29;1.28
2000-03-31;1.34
2000-04-30;1.42
2000-05-31;1.48
2000-06-30;1.58
2000-07-31;1.71
2000-08-31;1.76
2000-09-30;1.85
2000-10-31;1.94
2000-11-30;2.02
2000-12-31;2.08
2001-01-31;2.08
2001-02-28;2.05
2001-03-31;2.08
2001-04-30;2.08
2001-05-31;2.03
2001-06-30;1.97
2001-07-31;1.96
2001-08-31;1.93
2001-09-30;1.81
2001-10-31;1.6
2001-11-30;1.5
2001-12-31;1.38
2002-01-31;1.37
2002-02-28;1.36
2002-03-31;1.36
2002-04-30;1.39
2002-05-31;1.4
2002-06-30;1.42
2002-07-31;1.43
2002-08-31;1.4
2002-09-30;1.39
2002-10-31;1.35
2002-11-30;1.35
2002-12-31;1.25
2003-01-31;1.15
2003-02-28;1.12
2003-03-31;1.05
2003-04-30;0.98
2003-05-31;0.98
2003-06-30;0.9
2003-07-31;0.77
2003-08-31;0.76
2003-09-30;0.77
2003-10-31;0.76
2003-11-30;0.77
2003-12-31;0.77
2004-01-31;0.77
2004-02-29;0.76
